Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out2_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,0,0000003f0000002a00000051
1,1,0,0,0000003c0000002a00000050
2,2,0,0,00000044000000340000005b
3,3,0,0,000000470000003800000063
4,4,0,0,000000400000003000000061
5,5,0,0,0000003c0000002a00000064
6,6,0,0,0000003c000000280000006d
7,7,0,0,000000440000003100000082
8,8,0,0,0000005d00000049000000a8
9,9,0,0,0000006900000057000000c5
10,10,1,1,0000006900000057000000c5
11,11,0,0,0000006900000057000000c5
12,12,0,0,0000006900000057000000c5
13,13,0,0,0000006900000057000000c5
14,14,0,0,0000006900000057000000c5
15,15,0,0,0000006300000051000000c7
16,16,0,0,00000049000000540000000f
17,17,0,0,0000003f0000004a00000006
18,18,0,0,000000370000004200000000
19,19,0,0,0000002d0000003700000000
20,20,0,0,000000260000002f00000000
21,21,0,0,000000220000002a00000001
22,22,0,0,0000001d0000002500000000
23,23,0,0,0000001b0000002300000000
24,24,0,0,0000001b0000002200000000
25,25,0,0,0000001b0000002200000003
26,26,0,0,000000170000002000000001
27,27,0,0,000000150000001e00000003
28,28,0,0,000000150000001e00000003
29,29,0,0,000000120000001a00000003
30,30,0,0,000000100000001800000001
31,31,0,0,0000000f0000001700000002
32,32,0,0,0000000d0000001500000000
33,33,0,0,0000000d0000001500000000
34,34,0,0,0000000e0000001600000001
35,35,0,0,0000000c0000001700000000
36,36,0,0,000000310000004100000000
37,37,0,0,0000007f000000950000000f
38,38,0,0,000000ac000000c90000000d
39,39,0,0,000000c4000000e30000000a
40,40,0,0,000000ce000000ee0000000f
41,41,0,0,000000cc000000ed0000000a
42,42,0,0,000000c8000000e900000004
43,43,0,0,000000c6000000e600000005
44,44,0,0,000000d0000000ee00000012
45,45,0,0,000000d5000000ef0000001e
46,46,0,0,000000d7000000ef00000027
47,47,0,0,000000d5000000ea00000029
48,48,0,0,000000cf000000e600000024
49,49,0,0,000000c7000000e10000001c
50,50,0,0,000000bd000000dc00000012
51,51,0,0,000000b8000000d80000000b
52,52,0,0,000000b8000000d800000009
53,53,0,0,000000b9000000d700000007
54,54,0,0,000000b7000000d500000003
55,55,0,0,000000b7000000d500000001
56,56,0,0,000000b6000000d500000000
57,57,0,0,000000b4000000d200000000
58,58,0,0,000000af000000d000000000
59,59,0,0,000000ac000000cc00000000
60,60,0,0,000000ac000000cc00000000
61,61,0,0,000000ac000000cb00000003
62,62,0,0,000000ac000000cb00000004
63,63,0,0,000000ac000000ca00000006
64,64,0,0,000000ac000000cb00000003
65,65,0,0,000000ab000000ca00000002
66,66,0,0,000000aa000000ca00000000
67,67,0,0,000000ab000000c800000000
68,68,0,0,000000b0000000cb00000002
69,69,0,0,000000b2000000ca00000002
70,70,0,0,000000b5000000cb00000004
71,71,0,0,000000bf000000d200000014
72,72,0,0,000000cd000000dd00000032
73,73,0,0,000000d2000000de00000040
74,74,0,0,000000d6000000df00000048
75,75,0,0,000000d3000000db00000047
76,76,0,0,000000d1000000da00000043
77,77,0,0,000000cb000000d500000034
78,78,0,0,000000b7000000c900000015
79,79,0,0,000000aa000000bf00000002
80,80,0,0,000000ad000000c400000004
81,81,0,0,000000ab000000c500000002
82,82,0,0,000000ac000000cb00000001
83,83,0,0,000000b0000000c900000000
84,84,0,0,000000bc000000ce00000000
85,85,0,0,000000ca000000d300000006
86,86,0,0,000000ce000000d600000011
87,87,0,0,000000ba000000c100000011
88,88,0,0,0000008c0000009300000005
89,89,0,0,0000005b0000006400000000
90,90,0,0,000000520000005d00000000
91,91,0,0,000000530000005c00000009
92,92,0,0,000000520000005a00000005
93,93,0,0,0000005a0000005f00000001
94,94,0,0,000000a0000000a600000038
95,95,0,0,000000dc000000e000000071
96,96,0,0,000000ec000000f10000008a
97,97,0,0,000000ec000000f00000008f
98,98,0,0,000000ec000000f10000008b
99,99,0,0,000000ea000000ef0000008b
100,100,0,0,000000ec000000f00000008f
101,101,0,0,000000ef000000f000000092
102,102,0,0,000000ef000000f000000093
103,103,0,0,000000ef000000ee00000092
104,104,0,0,000000ee000000ed00000091
105,105,0,0,000000ef000000ee00000092
106,106,0,0,000000ee000000f00000008f
107,107,0,0,000000ee000000f00000008f
108,108,0,0,000000ee000000ef00000091
109,109,0,0,000000eb000000ed0000008a
110,110,0,0,000000e4000000e60000007b
111,111,0,0,000000db000000e00000006c
112,112,0,0,000000c7000000d000000053
113,113,0,0,000000ab000000b70000003b
114,114,0,0,000000790000008a00000018
115,115,0,0,0000003f0000005100000000
116,116,0,0,00000048000000530000000e
117,117,0,0,0000003e0000004900000005
118,118,0,0,000000370000004200000000
119,119,0,0,0000002d0000003700000000
120,120,0,0,000000260000002f00000000
121,121,0,0,000000220000002a00000003
122,122,0,0,0000001d0000002500000000
123,123,0,0,0000001c0000002400000000
124,124,0,0,0000001c0000002300000001
125,125,0,0,0000001c0000002300000004
126,126,0,0,000000180000002100000004
127,127,0,0,000000160000001f00000004
128,128,0,0,000000150000001d00000005
129,129,0,0,000000110000001900000002
130,130,0,0,0000000f0000001700000002
131,131,0,0,0000000e0000001600000001
132,132,0,0,0000000c0000001400000000
133,133,0,0,0000000d0000001500000000
134,134,0,0,0000000e0000001600000001
135,135,0,0,0000000c0000001700000000
136,136,0,0,000000390000004900000000
137,137,0,0,000000870000009d00000014
138,138,0,0,000000b2000000cf00000013
139,139,0,0,000000c8000000e70000000e
140,140,0,0,000000d0000000f000000013
141,141,0,0,000000cd000000ed0000000c
142,142,0,0,000000c8000000e900000006
143,143,0,0,000000c4000000e400000003
144,144,0,0,000000cb000000e90000000d
145,145,0,0,000000d1000000eb00000016
146,146,0,0,000000d4000000ed00000022
147,147,0,0,000000d5000000eb00000027
148,148,0,0,000000d1000000e800000024
149,149,0,0,000000ca000000e40000001f
150,150,0,0,000000c1000000e000000018
151,151,0,0,000000bc000000dc0000000f
