Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out2_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
0,0,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,1,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,3,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,4,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,5,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,6,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,7,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,8,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,9,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,10,1,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,11,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,12,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,13,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,14,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,15,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,16,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,17,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18,18,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,19,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,20,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21,21,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,22,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,23,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,24,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001111
25,25,0,0,000000000000000000000000010111100000000000000000000000001000011000000000000000000000000001001111
26,26,0,0,000000000000000000000000010111100000000000000000000000001000011000000000000000000000000001001111
27,27,0,0,000000000000000000000000010111100000000000000000000000001000011000000000000000000000000001001111
28,28,0,0,000000000000000000000000010111100000000000000000000000001000011000000000000000000000000001001111
29,29,0,0,000000000000000000000000010111100000000000000000000000001000011000000000000000000000000001001111
30,30,0,0,000000000000000000000000010010100000000000000000000000000111110000000000000000000000000001001111
31,31,0,0,000000000000000000000000010010100000000000000000000000000111110000000000000000000000000001001111
32,32,0,0,000000000000000000000000010010100000000000000000000000000111110000000000000000000000000001001111
33,33,0,0,000000000000000000000000010010100000000000000000000000000111110000000000000000000000000001001111
34,34,0,0,000000000000000000000000010010100000000000000000000000000111110000000000000000000000000001001100
35,35,0,0,000000000000000000000000010001110000000000000000000000000111100100000000000000000000000001001100
36,36,0,0,000000000000000000000000010001110000000000000000000000000111100100000000000000000000000001001100
37,37,0,0,000000000000000000000000010001110000000000000000000000000111100100000000000000000000000001001100
38,38,0,0,000000000000000000000000010001110000000000000000000000000111100100000000000000000000000001001100
