Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out1_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
0,0,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
1,1,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
2,2,0,0,000000000000000000000000110111000000000000000000000000001101110000000000000000000000000011011100
3,3,0,0,000000000000000000000000111101100000000000000000000000001111011000000000000000000000000011110110
4,4,0,0,000000000000000000000000111100000000000000000000000000001111000000000000000000000000000011110000
5,5,0,0,000000000000000000000000111111000000000000000000000000001111110000000000000000000000000011111100
6,6,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
7,7,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
8,8,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
9,9,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
10,10,1,1,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
11,11,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
12,12,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
13,13,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
14,14,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
15,15,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
16,16,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
17,17,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
18,18,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
19,19,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
20,20,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
21,21,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
22,22,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
23,23,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
24,24,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
25,25,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
26,26,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
27,27,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
28,28,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
29,29,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
30,30,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
31,31,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
32,32,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
33,33,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
34,34,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
35,35,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
36,36,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
37,37,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
38,38,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
39,39,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
40,40,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
41,41,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
42,42,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
43,43,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
44,44,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
45,45,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
46,46,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
47,47,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
48,48,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
49,49,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
50,50,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
51,51,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
52,52,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
53,53,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
54,54,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
55,55,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
56,56,0,0,000000000000000000000000111111110000000000000000000000001111111100000000000000000000000011111111
